title,rating,year,actors,runtime,url
Sullivan's Travels,7.9,1941,Joel McCrea;Veronica Lake;Robert Warwick;William Demarest,90,https://www.imdb.com/title/tt0034240/
The Wolf Man,7.3,1941,Claude Rains;Warren William;Ralph Bellamy;Patric Knowles,70,https://www.imdb.com/title/tt0034398/
How Green Was My Valley,7.7,1941,Walter Pidgeon;Maureen O'Hara;Anna Lee;Donald Crisp,118,https://www.imdb.com/title/tt0033729/
Holiday Inn,7.4,1942,Robert Allen;Bing Crosby;Fred Astaire;Marjorie Reynolds;Virginia Dale,100,https://www.imdb.com/title/tt0034862/
De afgod van het volk,7.7,1942,Gary Cooper;Teresa Wright;Babe Ruth;Walter Brennan,128,https://www.imdb.com/title/tt0035211/
De wreker,7.4,1942,Alan Ladd;Veronica Lake;Robert Preston;Laird Cregar,81,https://www.imdb.com/title/tt0035432/
Mrs. Miniver,7.6,1942,Greer Garson;Walter Pidgeon;Teresa Wright;May Whitty,134,https://www.imdb.com/title/tt0035093/
The Major and the Minor,7.4,1942,Ginger Rogers;Ray Milland;Rita Johnson;Robert Benchley,100,https://www.imdb.com/title/tt0035019/
The Man Who Came to Dinner,7.6,1942,Bette Davis;Ann Sheridan;Monty Woolley;Richard Travis,112,https://www.imdb.com/title/tt0033874/
Bambi,7.3,1942,Samuel Armstrong;David Hand;Graham Heid;Bill Roberts;Paul Satterfield;Norman Wright;Arthur Davis;Clyde Geronimi;Hardie Albright;Stan Alexander;Bobette Audrey;Peter Behn,70,https://www.imdb.com/title/tt0034492/
Cat People,7.3,1942,Simone Simon;Tom Conway;Kent Smith;Jane Randolph,73,https://www.imdb.com/title/tt0034587/
Gevangenen van 't verleden,8.0,1942,Ronald Colman;Greer Garson;Philip Dorn;Susan Peters,126,https://www.imdb.com/title/tt0035238/
The Magnificent Ambersons,7.7,1942,Fred Fleck;Robert Wise;Tim Holt;Joseph Cotten;Dolores Costello;Anne Baxter,88,https://www.imdb.com/title/tt0035015/
Spionnage in het spel,8.2,1942,Carole Lombard;Jack Benny;Robert Stack;Felix Bressart,99,https://www.imdb.com/title/tt0035446/
Het gesprek van de stad,7.5,1942,Cary Grant;Jean Arthur;Ronald Colman;Edgar Buchanan,118,https://www.imdb.com/title/tt0035417/
The Palm Beach Story,7.5,1942,Claudette Colbert;Joel McCrea;Mary Astor;Rudy Vallee,88,https://www.imdb.com/title/tt0035169/
Casablanca,8.5,1942,Humphrey Bogart;Ingrid Bergman;Paul Henreid;Claude Rains,102,https://www.imdb.com/title/tt0034583/
"Now, Voyager",7.9,1942,Bette Davis;Paul Henreid;Claude Rains;Gladys Cooper,117,https://www.imdb.com/title/tt0035140/
The Ox-Bow Incident,8.0,1942,Henry Fonda;Dana Andrews;Mary Beth Hughes;Anthony Quinn,75,https://www.imdb.com/title/tt0036244/
Yankee Doodle Dandy,7.7,1942,James Cagney;Joan Leslie;Walter Huston;Richard Whorf,126,https://www.imdb.com/title/tt0035575/
Heaven Can Wait,7.4,1943,Gene Tierney;Don Ameche;Charles Coburn;Marjorie Main,112,https://www.imdb.com/title/tt0035979/
Five Graves to Cairo,7.3,1943,Franchot Tone;Anne Baxter;Akim Tamiroff;Erich von Stroheim,96,https://www.imdb.com/title/tt0035884/
Het lied van Bernadette,7.6,1943,Jennifer Jones;Charles Bickford;William Eythe;Vincent Price,156,https://www.imdb.com/title/tt0036377/
Shadow of a Doubt,7.8,1943,Teresa Wright;Joseph Cotten;Macdonald Carey;Henry Travers,108,https://www.imdb.com/title/tt0036342/
The Miracle of Morgan's Creek,7.6,1943,Eddie Bracken;Betty Hutton;Diana Lynn;William Demarest,98,https://www.imdb.com/title/tt0037077/
Hoe meer hoe liever,7.7,1943,Jean Arthur;Joel McCrea;Charles Coburn;Richard Gaines,104,https://www.imdb.com/title/tt0036172/
Arsenicum en oude kant,8.0,1943,Cary Grant;Priscilla Lane;Raymond Massey;Jack Carson,118,https://www.imdb.com/title/tt0036613/
Hangmen Also Die!,7.5,1943,Brian Donlevy;Walter Brennan;Anna Lee;Gene Lockhart,134,https://www.imdb.com/title/tt0035966/
Sahara,7.5,1943,Humphrey Bogart;Bruce Bennett;J. Carrol Naish;Lloyd Bridges,97,https://www.imdb.com/title/tt0036323/
Ossessione,7.6,1943,Clara Calamai;Massimo Girotti;Dhia Cristiani;Elio Marcuzzo,140,https://www.imdb.com/title/tt0035160/
Jane Eyre,7.5,1943,Orson Welles;Joan Fontaine;Margaret O'Brien;Peggy Ann Garner,97,https://www.imdb.com/title/tt0036969/
The Life and Death of Colonel Blimp,8.1,1943,Emeric Pressburger;Roger Livesey;Deborah Kerr;Anton Walbrook;James McKechnie,163,https://www.imdb.com/title/tt0036112/
De dag des oordeels,8.1,1943,Thorkild Roose;Lisbeth Movin;Sigrid Neiiendam;Kirsten Andreasen,97,https://www.imdb.com/title/tt0036506/
Le corbeau,7.9,1943,Pierre Fresnay;Ginette Leclerc;Micheline Francey;Héléna Manson,92,https://www.imdb.com/title/tt0035753/
Mr. Skeffington,7.7,1944,Bette Davis;Claude Rains;Walter Abel;George Coulouris,146,https://www.imdb.com/title/tt0037094/
